STATE,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HX02,LN01,LN02,LX02,MN01,MN02,MX02,WDF1,WDFM,WSF1,WSFM,HN03,HX03,LN03,LX03,MN03,MX03,HN04,HN05,HN06,HX04,HX05,HX06,LN04,LN05,LN06,LX04,LX05,LX06,MN04,MN05,MN06,MX04,MX05,MX06,HN07,HN08,HX07,HX08,LN07,LN08,LX07,LX08,MN07,MN08,MX07,MX08
CO,1960,5.600354960540146,3.1538644825681863,0.1214221135517431,3.2748608856421355,1.3043292270144122,64.95144548160172,46.93224284289099,12.701809318938947,29.833701410044004,112.90100319776244,1.9932564279155187,3.835018616500098,,94.544449334616,19.94450759397729,1.7842975206611569,15.367627574445756,2.2616540586237552,13.209559884559884,2.956884501581471,-9.20764160362645,25.107034850671216,188.87613886113888,1649.9121773636991,320.6965909819698,,,8.193939663591179,17.19720141895142,-0.7733295982917193,2895.4725108225107,274.3636363636364,18.69090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1961,6.879262287244215,3.988684173925138,0.1759173055859803,2.85763085399449,1.3727739964185748,62.84572565481656,52.31868578208939,13.964445943948956,40.13377320972201,127.13123837340706,2.3309744462657087,4.910608465608465,,82.22531076066791,18.25114943637221,1.2163848527709915,15.80950737930936,1.8188068806880688,12.22174360293172,2.1165091509150917,-8.135590880516624,24.540313245610275,165.15289502164504,1753.0187074351763,315.97579590101867,,,8.285685740002572,16.903086683668366,-0.3368744695898161,3186.9798951048947,222.375,19.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1962,5.12309486490521,2.811977326632499,0.1134657328622845,2.094159368728334,0.9320696704317394,50.39788214658904,33.501945978670115,11.233911301023369,26.562360779386648,75.01047461478497,1.9567246970472776,4.803778467908902,,69.03812740500241,17.25678041476714,1.044965138106731,14.601915807889258,1.4562326807902028,13.97321125285727,2.1984529236741626,-8.998912353624743,26.22486125477276,190.12967032967032,1762.5760469115564,284.21314066710084,,,9.349822140494709,18.487423600735543,0.2673283498703853,2703.742286706349,217.66666666666663,20.37777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1963,5.281267436267437,3.021225348725349,0.1481365239698573,1.9322330447330447,0.8099527016193684,35.98551326759661,30.925053310886646,12.389010501843831,29.372149831649832,64.43994268077601,2.208813033813034,4.944905273937532,,110.37805378938192,23.571849116161616,1.0793434343434345,14.033569023569024,1.3052756734006734,14.326127946127947,2.5105702861952865,-6.695611111111111,25.680168350168348,177.3961904761905,1366.5543381645584,282.3375513468014,8.497222222222222,22.446111111111108,9.686065656565658,18.64105542929293,0.7632718434343435,2567.071875,206.8181818181818,18.97272727272728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1964,6.04663199454866,3.2973865640532307,0.1003996312329645,3.3497286355619686,1.577454104537438,66.23054172679173,48.138072991823,11.205498556998558,29.155985569985567,138.04269019560687,3.1083333333333334,4.141265792031098,,94.12376340902284,22.28794435425685,1.926338383838384,16.056829004329003,2.586551827801828,12.784088504088505,2.8473541967291967,-9.091694414381914,24.821890211640213,195.07757142857145,1457.4116967717632,335.62513678451177,9.877376190476191,25.413906349206343,7.810899756493507,16.801245562770564,-1.097766384078884,2780.336933621934,223.3333333333333,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1965,7.056713524570667,4.226115749330035,0.2536528947243232,2.974849122639178,1.3811313686313686,74.40360630774995,46.68858760287332,16.818510537081966,44.46396938379081,120.65542116613544,2.88474025974026,5.414148877941981,,71.69458846164729,13.418075336700335,1.6055005411255412,15.124837361712364,1.9897949735449736,12.1409604978355,1.1890867003367005,-8.125085197210197,24.45458703102453,161.16415966386558,1690.4564019700108,315.528308020683,8.722147759103642,23.28849579831933,8.168243804112555,16.700301554232805,-0.3874437620250121,2651.1829704609117,239.0909090909091,20.454545454545453,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1966,5.2804059036201885,2.923272957201529,0.1294756830471116,2.456334058820247,0.8971377828520686,48.77862404630361,42.98293432757718,11.96144226804941,27.42751865198294,78.73212581069724,3.4386363636363635,5.369806547619048,,111.91177801827804,19.83110963262603,1.5738379107231566,15.166950831500012,1.867177039718024,13.90444107349845,2.2641384571712444,-8.242879704539542,24.7846957573392,186.38316666666668,1644.9243674742625,297.4428493955953,9.114464285714284,24.847328431372556,8.980394054715775,18.17226608296076,-0.2825256369313745,2561.012184873949,212.8333333333333,20.89,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1967,6.826434676434677,3.901333709026017,0.1481578250809019,2.5022406841524485,1.2511586452762924,55.12345004668534,42.87124183006536,13.026696039003731,36.155329648983496,106.8801247771836,2.50278293135436,5.719406196213425,,71.9743398599362,14.357253283439723,1.198299581774158,14.996421234133098,1.784916354831609,12.303686990975129,1.4212011152689117,-8.341445447208159,24.715749779881133,170.1310238095238,1665.678136229552,306.5568897204491,10.316571428571429,24.447118055555556,8.501179782082325,17.25261957957297,-0.2533903991488738,2740.633015873016,226.3,20.09,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1968,6.06977247558643,3.428980418806,0.0975171146682774,3.0416372644696343,1.357864148125776,65.43740439072809,42.57814712742039,11.131308139534884,29.754399266753914,109.16644182690696,3.123376623376623,4.384626690182246,,85.00902341597795,15.399591278785495,1.2762050850893825,16.361916091254933,1.970479589281242,11.49207094558334,1.68453722585954,-9.22561419984974,23.90866388203165,180.61119897959185,1861.4228238283451,331.29229875496407,9.13325,24.38818367346939,7.75067192885168,16.418477529128356,-0.8925254522795846,2782.5110544217687,258.22727272727275,20.393636363636364,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1969,6.9801326878249945,4.186043870659256,0.2356703125933895,3.4816286277824737,1.3482202982202982,76.9298502779272,53.95136934824435,15.862695595003286,42.96645747414978,131.42824975949975,2.7094155844155843,4.313995016611297,,114.3619882452847,20.90704232406712,1.3608961515986309,15.13499248685199,2.00236664162284,12.005246681692965,2.207170882377494,-7.758606311044327,24.69480298856332,175.47468253968253,1781.683327721661,320.42064800901574,9.984484126984125,24.980156349206357,8.259210869020785,16.591825799315473,-0.0551567952249769,2562.7075132275136,264.22727272727275,21.949090909090906,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
